Male,Asian,White,Black,top,right,bottom,left
0.9632268669621554,0.3400152203303643,0.5111325090517477,0.002557322888063754,461,1556,536,1481
0.07210445796894,0.07928023956045306,0.018137196474140506,0.2081890579901368,484,563,574,474
0.05685640884515501,0.02487554033529512,0.9423060598455403,0.015996728727830287,418,1258,470,1207
0.9634789264060927,0.008841346141306966,0.8653082109449196,0.000331535112091414,378,892,486,784
0.9441262813233741,0.04728660284858549,0.024733492426729255,0.6223724128547572,350,1053,386,1017
0.22824073077212273,0.05097337921374865,0.024338497779809797,0.3641949581723501,395,1471,447,1420
0.9536467949133207,0.1171018613476731,0.009862216298044396,0.31197199186229546,353,664,396,621
0.9887519337435058,0.017085835413929808,0.9209337798857922,0.0023348508434228887,330,901,366,865
0.9626853513244936,0.011819165721688039,0.7825532118757607,0.001009035878097293,319,1144,362,1101
0.6282594385092676,0.09343161147982246,0.01880160834951785,0.7014302902531093,426,681,488,619
0.9774889920949443,0.011361706933810422,0.023043132781085784,0.7823967190245753,348,794,391,751
0.044834400291628544,0.11168384229024522,0.27552747202949046,0.011555665865898979,374,297,410,261
0.2504531071248164,0.2244761843703252,0.8511660616211109,0.0008313433275051125,523,1262,585,1199
0.1252704017002461,0.3725781858402228,0.0025286738424214073,0.27307457207190766,350,1201,386,1165
0.18650612493557595,0.06724928457673043,0.02111977907441515,0.376159107585541,294,1413,330,1377
0.09289749966478085,0.006835700471987434,0.12933066695706405,0.04732017042583977,382,156,425,112
0.9936333818463419,0.008187383419063589,0.9777386790790861,0.000299470385429487,346,269,382,233
0.699302781694677,0.12610085551049116,0.0032248681696847776,0.7725725243091495,326,1089,362,1053
0.06653729636405441,0.0127055310335686,0.5363236684110472,0.009260386098871523,372,1312,415,1269
0.7036583134822277,0.0001177863395398377,0.9979661972803997,0.0026484037721226953,343,982,395,930
0.9864688055959592,0.0027366614536339993,0.45314654659633163,0.0073892362554636,415,1867,504,1778
