Male,Asian,White,Black,top,right,bottom,left
0.07000046317843907,0.04398773114606098,0.9812787476997477,0.0010478549066948947,294,633,330,597
0.3805075367542312,0.011531616199187128,0.9516178364071672,0.0024830190202550684,468,943,511,900
0.007714217492891107,0.07918122911240318,0.7908707791328888,0.002247375906720407,270,261,306,225
0.30321857146335446,0.10748947438007743,0.7411609100787029,0.002451717604890293,425,309,468,266
0.06633655426758149,0.0647222906952856,0.9789694598768879,0.0009678684795414027,338,437,374,401
0.9085597225972452,0.06037915401050873,0.5205783426546884,0.0011035358960898025,378,55,429,3
0.9758087528334,0.006583815398112356,0.9341711012777772,0.0034071540483809307,435,821,487,769
0.024131214703078614,0.03339361819278815,0.46911036849602905,0.00601483206352922,487,376,530,333
0.9954958859282638,0.012200568749071963,0.9826085853132319,0.02412806302427721,314,45,358,2
0.43187979043742303,0.011881643483699696,0.9050047351072055,0.006333695858537353,343,268,395,216
0.6035604806311923,0.9179948121777065,0.019633097656338784,0.010649850634718416,270,821,306,785
0.2299962678926746,0.08911744514319724,0.26932469721613106,0.007190137139135063,487,703,530,660
0.33370210167985,0.03713395011863554,0.5943267358912961,0.003131753814277004,298,497,334,461
0.17805028533168096,0.017397625613182654,0.8913551021706122,0.003233238737518494,454,50,497,7
0.057271609418164525,0.0007417740063108435,0.9645221695809781,0.00518746900778493,406,885,449,842
0.07783719743944333,0.01920960840130468,0.9170373956925804,0.000594916091609303,468,208,511,165
0.062230474772566234,0.028378457381408404,0.9642361592579467,0.0025625295635825526,420,357,463,314
0.02175264820948909,0.006668952038840455,0.9699265642583361,0.0012899919142201643,206,805,242,769
0.01755887759944848,0.06413286794986339,0.6079028566047064,0.003628571282679535,362,485,398,449
0.7189635650076077,0.0031287034110508527,0.967106634571397,0.005619507288805968,186,865,222,829
0.8900812576060273,0.005356761111177519,0.8923563322611848,0.017238019481942188,174,405,210,369
0.11462307240699167,0.03942004222642079,0.7295992588792085,0.0005499071267953443,305,904,348,861
0.03511749100753624,0.02169836766146146,0.8653882452477714,0.0009299168475891543,478,626,521,583
0.8787281612330746,0.012368223220860175,0.9207779489353649,0.020268798114022445,353,847,396,804
0.053802477739800854,0.007300209200260799,0.8766725363138531,0.0007394851715803893,298,585,334,549
